FID;type;ident;Latitude;Longitude;y_proj;x_proj;comment;display;symbol;dist;proximity;color;altitude;depth;temp;time;wpt_class;sub_class;attrib;link;state;country;city;address;zip;facility;crossroad;ete;dtype;model;filename;ltime;magvar;geoidheigh;desc_;fix;sat;hdop;vdop;pdop;ageofdgpsd;dgpsid;dir;a_quartier
0;WAYPOINT;Zone 01 Don Bosco;-1,642931300000000;29,230801599999999;-1,642931300000000;29,230801599999999; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 12:08:56; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@0,00km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Majengo
1;WAYPOINT;Zone 2;-1,642476300000000;29,236773899999999;-1,642476300000000;29,236773899999999; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 12:22:38; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@0,75km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Majengo
2;WAYPOINT;Zone 3;-1,646095300000000;29,231296600000000;-1,646095300000000;29,231296600000000; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 12:37:53; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@1,69km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Majengo
3;WAYPOINT;Zone 4;-1,647843300000000;29,228000999999999;-1,647843300000000;29,228000999999999; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 12:55:25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@2,89km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Majengo
4;WAYPOINT;Zone 5;-1,649666900000000;29,225004200000001;-1,649666900000000;29,225004200000001; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:12:52; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@3,34km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Kasika
5;WAYPOINT;Zone 4 Saint Marc;-1,649322200000000;29,222645600000000;-1,649322200000000;29,222645600000000; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:19:23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@3,57km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Kasika
6;WAYPOINT;Zone 7 kibweti ville;-1,649689400000000;29,218487000000000;-1,649689400000000;29,218487000000000; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:27:40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@4,13km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
7;WAYPOINT;Zone 08 Christ Roi;-1,651664900000000;29,216460999999999;-1,651664900000000;29,216460999999999; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:33:04; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@4,47km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
8;WAYPOINT;Zone 09 Katindo 2;-1,654263000000000;29,212441200000001;-1,654263000000000;29,212441200000001; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:40:25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@5,05km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
9;WAYPOINT;Zone 10 Caritas;-1,655889200000000;29,210095800000001;-1,655889200000000;29,210095800000001; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:44:47; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@5,30km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
10;WAYPOINT;Zone 11 katoyi;-1,657776900000000;29,207243299999998;-1,657776900000000;29,207243299999998; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:49:32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@5,75km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
11;WAYPOINT;Zone 12 chez David Saez;-1,659256400000000;29,205200900000001;-1,659256400000000;29,205200900000001; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 13:53:29; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@6,02km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
12;WAYPOINT;Zone 14 Mosquée Katindo;-1,655757800000000;29,201062900000000;-1,655757800000000;29,201062900000000; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 14:04:28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@6,63km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Katoyi
13;WAYPOINT;Zone 15 Nyabushongo;-1,653898300000000;29,198212300000002;-1,653898300000000;29,198212300000002; ; ; ;0,000000000000000; ; ;0,000000000000000;0,000000000000000;0,000000000000000;2023/07/19 14:11:43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,000000000000000;0,000000000000000;@7,00km; ;0;0,0000000;0,0000000;0,0000000;0;0; ;Ndosho
